task,strategy,model,n_train,female_share_train,sampler_s,fit_s,accuracy,balanced_accuracy,f1_macro,f1_female,precision_female,recall_female,roc_auc,pr_auc_female,note,error
classification,LEAKY_smote_before_split,XGBoost,648137,0.4998,0.0,4.1,0.9269,0.927,0.9267,0.9226,0.9818,0.8701,0.9653,0.9751,LEAKY protocol run for contrast: synthetic samples in the test set. Metrics are invalid.,
classification,none,DecisionTree,366829,0.1166,0.0,1.3,0.808,0.5659,0.5616,0.233,0.218,0.2502,0.5666,0.1425,,
classification,none,ExtraTrees,366829,0.1166,0.0,6.0,0.8742,0.5436,0.5523,0.1726,0.3703,0.1125,0.6931,0.2377,,
classification,none,RandomForest,366829,0.1166,0.0,7.3,0.8785,0.5471,0.5576,0.1808,0.4222,0.1151,0.7142,0.2674,,
classification,none,HistGradientBoosting,366829,0.1166,0.0,2.1,0.8859,0.5249,0.5194,0.0996,0.6212,0.0542,0.758,0.3274,,
classification,none,XGBoost,366829,0.1166,0.0,1.5,0.886,0.5269,0.523,0.1069,0.6143,0.0586,0.7588,0.3273,,
classification,none,Dummy-majority,366829,0.1166,0.0,0.0,0.8834,0.5,0.4691,0.0,0.0,0.0,0.5,0.1166,,
classification,class_weight,DecisionTree,366829,0.1166,0.0,1.5,0.8153,0.5612,0.56,0.2248,0.2202,0.2297,0.5614,0.1411,,
classification,class_weight,ExtraTrees,366829,0.1166,0.0,7.0,0.8743,0.5455,0.5549,0.1779,0.3746,0.1167,0.6909,0.2359,,
classification,class_weight,RandomForest,366829,0.1166,0.0,7.0,0.8463,0.6017,0.6069,0.3002,0.3197,0.2829,0.7171,0.2549,,
classification,class_weight,HistGradientBoosting,366829,0.1166,0.0,2.2,0.7056,0.6911,0.5787,0.3474,0.2342,0.6722,0.7582,0.3255,,
classification,class_weight,XGBoost,366829,0.1166,0.0,1.5,0.7114,0.691,0.5819,0.3492,0.2369,0.6643,0.7579,0.3264,,
classification,RandomOverSampler,DecisionTree,648136,0.5,0.0,2.3,0.8151,0.563,0.5615,0.228,0.222,0.2342,0.5632,0.1421,,
classification,RandomOverSampler,ExtraTrees,648136,0.5,0.0,10.9,0.874,0.5433,0.5518,0.1718,0.3678,0.1121,0.6923,0.2349,,
classification,RandomOverSampler,RandomForest,648136,0.5,0.0,15.6,0.862,0.5749,0.5886,0.2531,0.343,0.2006,0.7083,0.2468,,
classification,RandomOverSampler,HistGradientBoosting,648136,0.5,0.0,6.4,0.7112,0.6899,0.5814,0.3483,0.2363,0.662,0.7587,0.3277,,
classification,RandomOverSampler,XGBoost,648136,0.5,0.0,3.2,0.7123,0.6903,0.5822,0.349,0.237,0.6616,0.7573,0.3262,,
classification,SMOTE,DecisionTree,648136,0.5,1.0,3.7,0.8062,0.5671,0.562,0.2349,0.2176,0.2552,0.5679,0.1429,,
classification,SMOTE,ExtraTrees,648136,0.5,1.0,16.2,0.8539,0.5822,0.5928,0.2666,0.3215,0.2278,0.6971,0.24,,
classification,SMOTE,RandomForest,648136,0.5,1.0,17.9,0.8582,0.5774,0.5896,0.2577,0.3304,0.2112,0.7102,0.2528,,
classification,SMOTE,HistGradientBoosting,648136,0.5,1.0,6.9,0.8804,0.5598,0.5759,0.2166,0.458,0.1418,0.747,0.3132,,
classification,SMOTE,XGBoost,648136,0.5,1.0,3.4,0.8817,0.5496,0.5615,0.1868,0.4705,0.1166,0.7454,0.308,,
classification,SMOTENC,DecisionTree,648136,0.5,53.0,3.4,0.7972,0.5649,0.5573,0.2315,0.2073,0.2621,0.5658,0.1409,,
classification,SMOTENC,ExtraTrees,648136,0.5,53.0,10.7,0.8345,0.5966,0.5969,0.2874,0.2885,0.2863,0.6951,0.2343,,
classification,SMOTENC,RandomForest,648136,0.5,53.0,15.1,0.841,0.5948,0.5985,0.2864,0.3003,0.2737,0.7095,0.2491,,
classification,SMOTENC,HistGradientBoosting,648136,0.5,53.0,6.5,0.8598,0.598,0.6106,0.2991,0.3583,0.2567,0.7406,0.3024,,
classification,SMOTENC,XGBoost,648136,0.5,53.0,2.4,0.877,0.5594,0.5746,0.216,0.4199,0.1454,0.7449,0.3036,,
classification,BorderlineSMOTE,DecisionTree,648136,0.5,5.0,3.1,0.8051,0.5675,0.5619,0.2356,0.217,0.2577,0.5682,0.143,,
classification,BorderlineSMOTE,ExtraTrees,648136,0.5,5.0,13.3,0.8531,0.5828,0.593,0.2676,0.3194,0.2303,0.7019,0.2423,,
classification,BorderlineSMOTE,RandomForest,648136,0.5,5.0,16.3,0.8589,0.5782,0.5908,0.2595,0.3343,0.2121,0.7141,0.2559,,
classification,BorderlineSMOTE,HistGradientBoosting,648136,0.5,5.0,6.5,0.8782,0.5667,0.5845,0.2351,0.4385,0.1606,0.748,0.3108,,
classification,BorderlineSMOTE,XGBoost,648136,0.5,5.0,2.4,0.8812,0.5519,0.5648,0.1938,0.4632,0.1225,0.7484,0.3101,,
classification,ADASYN,DecisionTree,647812,0.4997,6.1,6.7,0.8048,0.5638,0.5589,0.2295,0.2125,0.2495,0.5644,0.141,,
classification,ADASYN,ExtraTrees,647812,0.4997,6.1,25.1,0.854,0.5792,0.5899,0.2607,0.3182,0.2209,0.6964,0.2377,,
classification,ADASYN,RandomForest,647812,0.4997,6.1,26.9,0.8579,0.5783,0.5905,0.2597,0.3307,0.2138,0.7106,0.2512,,
classification,ADASYN,HistGradientBoosting,647812,0.4997,6.1,9.7,0.8809,0.5559,0.5706,0.2055,0.4616,0.1322,0.747,0.3102,,
classification,ADASYN,XGBoost,647812,0.4997,6.1,4.4,0.8836,0.548,0.5593,0.1812,0.5032,0.1105,0.7441,0.3115,,
classification,KMeansSMOTE,DecisionTree,,,,,,,,,,,,,,sampler: RuntimeError('No clusters found with sufficient samples of class 1. Try lowering the cluster_balance_threshold or increasing the number of clusters.')
classification,KMeansSMOTE,ExtraTrees,,,,,,,,,,,,,,sampler: RuntimeError('No clusters found with sufficient samples of class 1. Try lowering the cluster_balance_threshold or increasing the number of clusters.')
classification,KMeansSMOTE,RandomForest,,,,,,,,,,,,,,sampler: RuntimeError('No clusters found with sufficient samples of class 1. Try lowering the cluster_balance_threshold or increasing the number of clusters.')
classification,KMeansSMOTE,HistGradientBoosting,,,,,,,,,,,,,,sampler: RuntimeError('No clusters found with sufficient samples of class 1. Try lowering the cluster_balance_threshold or increasing the number of clusters.')
classification,KMeansSMOTE,XGBoost,,,,,,,,,,,,,,sampler: RuntimeError('No clusters found with sufficient samples of class 1. Try lowering the cluster_balance_threshold or increasing the number of clusters.')
classification,SMOTETomek,DecisionTree,628618,0.5,77.6,5.1,0.8044,0.5708,0.5643,0.2409,0.2199,0.2663,0.5716,0.1447,,
classification,SMOTETomek,ExtraTrees,628618,0.5,77.6,25.6,0.8518,0.5862,0.5958,0.274,0.3195,0.2399,0.6993,0.2409,,
classification,SMOTETomek,RandomForest,628618,0.5,77.6,28.9,0.8563,0.5824,0.594,0.2676,0.3296,0.2253,0.7126,0.2547,,
classification,SMOTETomek,HistGradientBoosting,628618,0.5,77.6,9.6,0.8785,0.5687,0.5871,0.2403,0.443,0.1648,0.7469,0.3118,,
classification,SMOTETomek,XGBoost,628618,0.5,77.6,4.9,0.8811,0.5589,0.5748,0.2139,0.4668,0.1387,0.7475,0.3125,,
classification,SMOTEENN,DecisionTree,467307,0.5482,84.0,3.6,0.7724,0.6186,0.582,0.2998,0.2337,0.4181,0.6186,0.1656,,
classification,SMOTEENN,ExtraTrees,467307,0.5482,84.0,15.4,0.8078,0.6469,0.6169,0.3465,0.287,0.4372,0.7252,0.2668,,
classification,SMOTEENN,RandomForest,467307,0.5482,84.0,18.7,0.8104,0.649,0.6197,0.3504,0.2917,0.4386,0.7312,0.2773,,
classification,SMOTEENN,HistGradientBoosting,467307,0.5482,84.0,8.0,0.8328,0.6489,0.6335,0.3632,0.3266,0.4091,0.7519,0.3133,,
classification,SMOTEENN,XGBoost,467307,0.5482,84.0,3.3,0.8377,0.6444,0.6338,0.3605,0.3333,0.3924,0.7505,0.3128,,
classification,SVMSMOTE,DecisionTree,106012,0.5,39.3,0.4,0.7942,0.5713,0.5611,0.2412,0.2115,0.2805,0.5716,0.1433,sampler ran on 60000 stratified subsample (SVC is O(n^2)),
classification,SVMSMOTE,ExtraTrees,106012,0.5,39.3,1.1,0.8612,0.5597,0.5713,0.2187,0.3179,0.1667,0.6976,0.2319,sampler ran on 60000 stratified subsample (SVC is O(n^2)),
